Reporting_Airline,Per_Dep_Ontime_Arr_Late,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Year
AA,26.93,6.519684533981595,0.531526544235043,89.73933135966496,0.07790373953995876,3.131553822578445,2017
AS,32.53,5.308718560172728,0.5993909414627072,89.51186697388138,0.29687575528092425,4.283147769202262,2017
B6,15.23,9.249836798820578,0.23207363887092894,88.74833284919586,0.08183484977682824,1.6879218633358009,2017
DL,19.68,5.935988634041435,0.9323811655390142,90.82771592332426,0.0,2.303914277095286,2017
EV,16.67,6.454942612911779,0.1669844316216114,91.00272730716297,0.0,2.3753456483036404,2017
F9,20.91,7.133874111802805,0.25702697604225616,90.95768094070301,0.0,1.6514179714519273,2017
HA,30.77,77.54471520089658,7.133229338623939,5.13713671265656,0.18628178527616654,9.99863696254676,2017
NK,18.02,4.267862096794532,0.5012483922221381,93.47305238203325,0.09772767395525964,1.6601094549948299,2017
OO,20.68,3.7155123083788975,0.628081886107453,89.16079608146994,0.07898937408108116,6.416620349962628,2017
UA,20.68,5.308074730251087,0.6388767718052343,92.71860397617621,0.0,1.3344445217674685,2017
VX,22.79,23.885893944566625,12.3538145181139,57.816010734162745,0.18816542678618214,5.756115376370551,2017
WN,14.86,9.904601316906751,0.42053584828879687,81.77775360326196,0.08763261988293491,7.809476611659571,2017
9E,18.98,3.5375072301892816,0.674152821269721,91.92452679657738,0.0,3.86381315196362,2018
AA,23.99,6.870125739890731,0.6549644868271365,89.1926508538509,0.0517389508859702,3.230519968545249,2018
AS,33.66,4.416397590800831,0.3383202372169093,91.25024195788109,0.22638841744116567,3.7686517966599995,2018
B6,17.33,9.758103842794291,0.1637112893804693,87.8532117957869,0.07127201796269204,2.153701054075634,2018
DL,22.75,5.819839644201131,0.8520862403292161,90.787383918644,0.0015103792097463607,2.539179817615901,2018
EV,20.74,5.26734722305136,0.335502358068175,92.02674467195988,0.0,2.3704057469205817,2018
F9,16.15,7.987076800544675,0.3295030477426151,89.34414120458092,0.0,2.3392789471317816,2018
G4,15.66,8.875695175108973,5.713856262480943,77.71789310944578,0.3521504799123918,7.340404973051899,2018
HA,33.55,81.21894764776128,5.50649427236138,5.272081263176518,0.15480104380132392,7.847675772899498,2018
MQ,24.64,4.65519518315081,1.464913010090536,89.37265528322467,0.05453682825545735,4.452699695278529,2018
NK,21.97,3.864291197671057,0.5588068153494911,94.31572335822459,0.1420695293261418,1.119109099428731,2018
OH,17.8,8.624057343929493,1.2187034560734047,84.6989842325937,0.08914690758074861,5.369108059822648,2018
OO,22.74,3.2340245157830085,0.7586570818086662,90.28300417823684,0.03968459934774522,5.684629624823744,2018
UA,24.49,4.806463188953755,0.705049571599121,92.93203050054767,0.0,1.5564567388994566,2018
VX,29.07,4.401325130146711,0.15289963231278897,92.4241872656449,0.3640467436018785,2.657541228293713,2018
WN,12.87,10.966617908324388,0.3612775525679457,82.30942723647871,0.09931123591515818,6.2633660667137825,2018
YV,21.14,13.145979457686058,3.839784112947322,77.11746726093301,0.2903145861443627,5.606454582289237,2018
YX,26.3,3.5039526701915107,0.5460618870138616,92.81896392702285,0.045338471693458594,3.085683044078329,2018
